Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
169,0,9,3,82,26,1,200,35,165
169,1,6,5,-12,24,19,200,41,159
169,2,8,7,-19,23,18,200,35,165
170,0,0,4,29,23,6,200,41,159
170,1,1,1,209,39,5,200,35,165
170,2,2,0,229,43,11,200,42,158
171,0,7,9,232,40,2,200,58,142
171,1,5,2,165,35,5,200,37,163
171,2,2,5,238,42,6,200,32,168
172,0,5,2,81,31,15,200,40,160
172,1,3,2,314,50,9,200,36,164
172,2,5,7,326,50,6,200,42,158
173,0,7,6,97,27,0,200,40,160
173,1,1,0,75,25,0,200,45,155
173,2,2,5,273,43,0,200,32,168
174,0,8,4,140,32,3,200,35,165
174,1,3,5,207,37,0,200,36,164
174,2,5,2,140,32,3,200,40,160
175,0,2,2,36,24,7,200,34,166
175,1,8,5,-103,11,6,200,43,157
175,2,2,4,124,32,7,200,44,156
176,0,7,6,224,40,4,200,37,163
176,1,4,2,323,49,4,200,25,175
176,2,4,0,265,43,2,200,45,155
177,0,5,6,185,35,0,200,28,172
177,1,4,1,163,33,0,200,47,153
177,2,3,8,196,36,0,200,49,151
178,0,8,7,12,24,13,200,38,162
178,1,9,3,260,44,6,200,38,162
178,2,9,0,150,38,17,200,34,166
179,0,1,2,32,28,19,200,44,156
179,1,8,7,243,41,2,200,33,167
179,2,4,8,-31,23,21,200,46,154
180,0,6,4,262,42,0,200,47,153
180,1,9,0,412,56,1,200,45,155
180,2,6,7,93,27,1,200,36,164
181,0,8,4,324,48,1,200,48,152
181,1,1,3,174,38,11,200,42,158
181,2,6,9,189,39,10,200,35,165
182,0,0,4,73,27,6,200,37,163
182,1,3,6,-37,17,6,200,48,152
182,2,2,1,262,42,0,200,47,153
183,0,4,0,158,34,4,200,46,154
183,1,2,7,80,28,7,200,33,167
183,2,8,1,129,31,3,200,49,151
184,0,9,7,27,25,12,200,37,163
184,1,5,1,148,36,12,200,36,164
184,2,2,9,372,52,0,200,45,155
185,0,7,6,44,24,5,200,46,154
185,1,9,3,42,26,11,200,39,161
185,2,2,4,117,31,6,200,47,153
186,0,6,2,125,31,4,200,45,155
186,1,2,6,110,30,5,200,52,148
186,2,2,9,280,44,1,200,41,159
187,0,2,9,154,38,16,200,34,166
187,1,1,9,12,24,13,200,37,163
187,2,4,2,173,35,3,200,51,149
188,0,7,2,67,25,2,200,32,168
188,1,6,6,284,44,0,200,38,162
188,2,0,4,221,39,2,200,40,160
189,0,5,4,57,27,10,200,34,166
189,1,8,7,129,31,3,200,43,157
189,2,5,9,86,30,11,200,36,164
